symbol,dir,entry,sl,tp,lots,rr,status
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
EURUSD,BUY,1.085,1.084,1.0864,0.02,1.4,DRY_RUN_ONLY_SUCCESS
