config_id,month,trades,pnl_r,status
cfg_v46_0001,2020-01,4,1.2,OK
cfg_v46_0001,2020-02,4,1.2,OK
cfg_v46_0001,2020-03,4,1.2,OK
cfg_v46_0001,2020-04,4,1.2,OK
cfg_v46_0001,2020-05,4,1.2,OK
cfg_v46_0001,2020-06,4,1.2,OK
cfg_v46_0001,2020-07,4,1.2,OK
cfg_v46_0001,2020-08,4,1.2,OK
cfg_v46_0001,2020-09,4,1.2,OK
cfg_v46_0001,2020-10,4,1.2,OK
cfg_v46_0001,2020-11,4,1.2,OK
cfg_v46_0001,2020-12,4,1.2,OK
cfg_v46_0001,2021-01,4,1.2,OK
cfg_v46_0001,2021-02,4,1.2,OK
cfg_v46_0001,2021-03,4,1.2,OK
cfg_v46_0001,2021-04,4,1.2,OK
cfg_v46_0001,2021-05,4,1.2,OK
cfg_v46_0001,2021-06,4,1.2,OK
cfg_v46_0001,2021-07,4,1.2,OK
cfg_v46_0001,2021-08,4,1.2,OK
cfg_v46_0001,2021-09,4,1.2,OK
cfg_v46_0001,2021-10,4,1.2,OK
cfg_v46_0001,2021-11,4,1.2,OK
cfg_v46_0001,2021-12,4,1.2,OK
cfg_v46_0001,2022-01,4,1.2,OK
cfg_v46_0001,2022-02,4,1.2,OK
cfg_v46_0001,2022-03,4,1.2,OK
cfg_v46_0001,2022-04,4,1.2,OK
cfg_v46_0001,2022-05,4,1.2,OK
cfg_v46_0001,2022-06,4,1.2,OK
cfg_v46_0001,2022-07,4,1.2,OK
cfg_v46_0001,2022-08,4,1.2,OK
cfg_v46_0001,2022-09,4,1.2,OK
cfg_v46_0001,2022-10,4,1.2,OK
cfg_v46_0001,2022-11,4,1.2,OK
cfg_v46_0001,2022-12,4,1.2,OK
cfg_v46_0001,2023-01,4,1.2,OK
cfg_v46_0001,2023-02,4,1.2,OK
cfg_v46_0001,2023-03,4,1.2,OK
cfg_v46_0001,2023-04,4,1.2,OK
cfg_v46_0001,2023-05,4,1.2,OK
cfg_v46_0001,2023-06,4,1.2,OK
cfg_v46_0001,2023-07,4,1.2,OK
cfg_v46_0001,2023-08,4,1.2,OK
cfg_v46_0001,2023-09,4,1.2,OK
cfg_v46_0001,2023-10,4,1.2,OK
cfg_v46_0001,2023-11,4,1.2,OK
cfg_v46_0001,2023-12,4,1.2,OK
cfg_v46_0001,2024-01,4,1.2,OK
cfg_v46_0001,2024-02,4,1.2,OK
cfg_v46_0001,2024-03,4,1.2,OK
cfg_v46_0001,2024-04,4,1.2,OK
cfg_v46_0001,2024-05,4,1.2,OK
cfg_v46_0001,2024-06,4,1.2,OK
cfg_v46_0001,2024-07,4,1.2,OK
cfg_v46_0001,2024-08,4,1.2,OK
cfg_v46_0001,2024-09,4,1.2,OK
cfg_v46_0001,2024-10,4,1.2,OK
cfg_v46_0001,2024-11,4,1.2,OK
cfg_v46_0001,2024-12,4,1.2,OK
cfg_v46_0001,2025-01,4,1.2,OK
cfg_v46_0001,2025-02,4,1.2,OK
cfg_v46_0001,2025-03,4,1.2,OK
cfg_v46_0001,2025-04,4,1.2,OK
cfg_v46_0001,2025-05,4,1.2,OK
cfg_v46_0001,2025-06,4,1.2,OK
cfg_v46_0001,2025-07,4,1.2,OK
cfg_v46_0001,2025-08,4,1.2,OK
cfg_v46_0001,2025-09,4,1.2,OK
cfg_v46_0001,2025-10,4,1.2,OK
cfg_v46_0001,2025-11,4,1.2,OK
cfg_v46_0001,2025-12,4,1.2,OK
