trade_id,phase,config_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_net_r,slippage_pips
tr_v46_001,TRAIN,cfg_v46_top_001,2020-01-02 08:30:00,2020-01-02 10:15:00,LONG,1.12000,1.11900,-1.00,0.2
tr_v46_002,TRAIN,cfg_v46_top_001,2020-01-07 08:30:00,2020-01-07 10:15:00,SHORT,1.12010,1.11810,2.00,0.2
tr_v46_003,TRAIN,cfg_v46_top_001,2020-01-12 08:30:00,2020-01-12 10:15:00,LONG,1.12020,1.12220,2.00,0.2
tr_v46_004,TRAIN,cfg_v46_top_001,2020-01-17 08:30:00,2020-01-17 10:15:00,SHORT,1.12030,1.11830,2.00,0.2
tr_v46_005,TRAIN,cfg_v46_top_001,2020-01-22 08:30:00,2020-01-22 10:15:00,LONG,1.12040,1.12240,2.00,0.2
tr_v46_006,TRAIN,cfg_v46_top_001,2020-01-27 08:30:00,2020-01-27 10:15:00,SHORT,1.12050,1.12150,-1.00,0.2
tr_v46_007,TRAIN,cfg_v46_top_001,2020-02-01 08:30:00,2020-02-01 10:15:00,LONG,1.12060,1.12260,2.00,0.2
tr_v46_008,TRAIN,cfg_v46_top_001,2020-02-06 08:30:00,2020-02-06 10:15:00,SHORT,1.12070,1.11870,2.00,0.2
tr_v46_009,TRAIN,cfg_v46_top_001,2020-02-11 08:30:00,2020-02-11 10:15:00,LONG,1.12080,1.12280,2.00,0.2
tr_v46_010,TRAIN,cfg_v46_top_001,2020-02-16 08:30:00,2020-02-16 10:15:00,SHORT,1.12090,1.11890,2.00,0.2
tr_v46_011,TRAIN,cfg_v46_top_001,2020-02-21 08:30:00,2020-02-21 10:15:00,LONG,1.12100,1.12000,-1.00,0.2
tr_v46_012,TRAIN,cfg_v46_top_001,2020-02-26 08:30:00,2020-02-26 10:15:00,SHORT,1.12110,1.11910,2.00,0.2
tr_v46_013,TRAIN,cfg_v46_top_001,2020-03-02 08:30:00,2020-03-02 10:15:00,LONG,1.12120,1.12320,2.00,0.2
tr_v46_014,TRAIN,cfg_v46_top_001,2020-03-07 08:30:00,2020-03-07 10:15:00,SHORT,1.12130,1.11930,2.00,0.2
tr_v46_015,TRAIN,cfg_v46_top_001,2020-03-12 08:30:00,2020-03-12 10:15:00,LONG,1.12140,1.12340,2.00,0.2
tr_v46_016,TRAIN,cfg_v46_top_001,2020-03-17 08:30:00,2020-03-17 10:15:00,SHORT,1.12150,1.12250,-1.00,0.2
tr_v46_017,TRAIN,cfg_v46_top_001,2020-03-22 08:30:00,2020-03-22 10:15:00,LONG,1.12160,1.12360,2.00,0.2
tr_v46_018,TRAIN,cfg_v46_top_001,2020-03-27 08:30:00,2020-03-27 10:15:00,SHORT,1.12170,1.11970,2.00,0.2
tr_v46_019,TRAIN,cfg_v46_top_001,2020-04-01 08:30:00,2020-04-01 10:15:00,LONG,1.12180,1.12380,2.00,0.2
tr_v46_020,TRAIN,cfg_v46_top_001,2020-04-06 08:30:00,2020-04-06 10:15:00,SHORT,1.12190,1.11990,2.00,0.2
tr_v46_021,TRAIN,cfg_v46_top_001,2020-04-11 08:30:00,2020-04-11 10:15:00,LONG,1.12200,1.12100,-1.00,0.2
tr_v46_022,TRAIN,cfg_v46_top_001,2020-04-16 08:30:00,2020-04-16 10:15:00,SHORT,1.12210,1.12010,2.00,0.2
tr_v46_023,TRAIN,cfg_v46_top_001,2020-04-21 08:30:00,2020-04-21 10:15:00,LONG,1.12220,1.12420,2.00,0.2
tr_v46_024,TRAIN,cfg_v46_top_001,2020-04-26 08:30:00,2020-04-26 10:15:00,SHORT,1.12230,1.12030,2.00,0.2
tr_v46_025,TRAIN,cfg_v46_top_001,2020-05-01 08:30:00,2020-05-01 10:15:00,LONG,1.12240,1.12440,2.00,0.2
tr_v46_026,TRAIN,cfg_v46_top_001,2020-05-06 08:30:00,2020-05-06 10:15:00,SHORT,1.12250,1.12350,-1.00,0.2
tr_v46_027,TRAIN,cfg_v46_top_001,2020-05-11 08:30:00,2020-05-11 10:15:00,LONG,1.12260,1.12460,2.00,0.2
tr_v46_028,TRAIN,cfg_v46_top_001,2020-05-16 08:30:00,2020-05-16 10:15:00,SHORT,1.12270,1.12070,2.00,0.2
tr_v46_029,TRAIN,cfg_v46_top_001,2020-05-21 08:30:00,2020-05-21 10:15:00,LONG,1.12280,1.12480,2.00,0.2
tr_v46_030,TRAIN,cfg_v46_top_001,2020-05-26 08:30:00,2020-05-26 10:15:00,SHORT,1.12290,1.12090,2.00,0.2
tr_v46_031,TRAIN,cfg_v46_top_001,2020-05-31 08:30:00,2020-05-31 10:15:00,LONG,1.12300,1.12200,-1.00,0.2
tr_v46_032,TRAIN,cfg_v46_top_001,2020-06-05 08:30:00,2020-06-05 10:15:00,SHORT,1.12310,1.12110,2.00,0.2
tr_v46_033,TRAIN,cfg_v46_top_001,2020-06-10 08:30:00,2020-06-10 10:15:00,LONG,1.12320,1.12520,2.00,0.2
tr_v46_034,TRAIN,cfg_v46_top_001,2020-06-15 08:30:00,2020-06-15 10:15:00,SHORT,1.12330,1.12130,2.00,0.2
