Artifact,Status,Verification_Method,Path
PHASE56G_4X2_QUEUE_REPORT.md,VALID,Test-Path,reports/manipulante_tick_historical/phase56_batches/PHASE56G_4X2_QUEUE_REPORT.md
PHASE56G_4X2_QUEUE_REPORT.json,VALID,Test-Path,reports/manipulante_tick_historical/phase56_batches/PHASE56G_4X2_QUEUE_REPORT.json
PHASE56_FULL_HISTORICAL_CHECKPOINT.json,VALID,json.load,reports/manipulante_tick_historical/phase56_batches/PHASE56_FULL_HISTORICAL_CHECKPOINT.json
Batch_2016-07,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201607_201608
Batch_2016-08,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201607_201608
Batch_2016-09,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201609_201610
Batch_2016-10,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201609_201610
Batch_2016-11,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201611_201612
Batch_2016-12,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201611_201612
Batch_2017-01,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201701_201702
Batch_2017-02,EXIST,dir,reports/manipulante_tick_historical/phase56_batches/batch_201701_201702
