trade_id,verdict
2151,LIFECYCLE_OK
2152,LIFECYCLE_OK
2153,LIFECYCLE_OK
2154,LIFECYCLE_OK
2155,LIFECYCLE_OK
2156,LIFECYCLE_OK
2157,EXIT_AFTER_ALLOWED
2158,LIFECYCLE_OK
2159,LIFECYCLE_OK
2160,LIFECYCLE_OK
2161,LIFECYCLE_OK
2162,LIFECYCLE_OK
2163,LIFECYCLE_OK
2164,EXIT_AFTER_ALLOWED
2165,LIFECYCLE_OK
2166,LIFECYCLE_OK
2167,LIFECYCLE_OK
2168,EXIT_AFTER_ALLOWED
2169,LIFECYCLE_OK
2170,LIFECYCLE_OK
2171,LIFECYCLE_OK
2172,LIFECYCLE_OK
2173,LIFECYCLE_OK
2174,LIFECYCLE_OK
2175,EXIT_AFTER_ALLOWED
2176,LIFECYCLE_OK
2177,LIFECYCLE_OK
2178,LIFECYCLE_OK
2179,EXIT_AFTER_ALLOWED
2180,LIFECYCLE_OK
2181,LIFECYCLE_OK
2182,LIFECYCLE_OK
2183,LIFECYCLE_OK
2184,LIFECYCLE_OK
2185,LIFECYCLE_OK
2186,EXIT_AFTER_ALLOWED
2187,LIFECYCLE_OK
2188,EXIT_AFTER_ALLOWED
2189,LIFECYCLE_OK
2190,LIFECYCLE_OK
2191,LIFECYCLE_OK
2192,LIFECYCLE_OK
2193,LIFECYCLE_OK
2194,LIFECYCLE_OK
2195,LIFECYCLE_OK
2196,EXIT_AFTER_ALLOWED
2197,LIFECYCLE_OK
2198,LIFECYCLE_OK
2199,LIFECYCLE_OK
2200,LIFECYCLE_OK
2201,LIFECYCLE_OK
2202,LIFECYCLE_OK
2203,LIFECYCLE_OK
2204,LIFECYCLE_OK
2205,LIFECYCLE_OK
2206,LIFECYCLE_OK
2207,EXIT_AFTER_ALLOWED
2208,LIFECYCLE_OK
2209,LIFECYCLE_OK
2210,LIFECYCLE_OK
2211,LIFECYCLE_OK
2212,LIFECYCLE_OK
2213,LIFECYCLE_OK
2214,LIFECYCLE_OK
2215,LIFECYCLE_OK
2216,LIFECYCLE_OK
2217,EXIT_AFTER_ALLOWED
2218,LIFECYCLE_OK
2219,LIFECYCLE_OK
2220,LIFECYCLE_OK
2221,EXIT_AFTER_ALLOWED
2222,LIFECYCLE_OK
2223,LIFECYCLE_OK
2224,EXIT_AFTER_ALLOWED
2225,LIFECYCLE_OK
2226,LIFECYCLE_OK
2227,LIFECYCLE_OK
2228,LIFECYCLE_OK
2229,LIFECYCLE_OK
2250,LIFECYCLE_OK
2251,LIFECYCLE_OK
2252,LIFECYCLE_OK
2253,LIFECYCLE_OK
2254,LIFECYCLE_OK
2255,EXIT_AFTER_ALLOWED
2256,NOT_AUDITABLE
2257,LIFECYCLE_OK
2258,LIFECYCLE_OK
2259,LIFECYCLE_OK
2260,LIFECYCLE_OK
2261,LIFECYCLE_OK
2262,LIFECYCLE_OK
2263,LIFECYCLE_OK
2264,LIFECYCLE_OK
2265,LIFECYCLE_OK
2266,LIFECYCLE_OK
2267,EXIT_AFTER_ALLOWED
2268,LIFECYCLE_OK
2269,LIFECYCLE_OK
2270,LIFECYCLE_OK
2271,LIFECYCLE_OK
2272,LIFECYCLE_OK
2273,EXIT_AFTER_ALLOWED
2274,LIFECYCLE_OK
2275,LIFECYCLE_OK
2276,LIFECYCLE_OK
2277,LIFECYCLE_OK
2278,LIFECYCLE_OK
2279,EXIT_AFTER_ALLOWED
2280,LIFECYCLE_OK
2281,LIFECYCLE_OK
2282,LIFECYCLE_OK
2283,LIFECYCLE_OK
2284,LIFECYCLE_OK
2285,LIFECYCLE_OK
2286,LIFECYCLE_OK
2287,LIFECYCLE_OK
2288,LIFECYCLE_OK
2289,LIFECYCLE_OK
2290,LIFECYCLE_OK
2291,LIFECYCLE_OK
2310,LIFECYCLE_OK
2311,LIFECYCLE_OK
2312,LIFECYCLE_OK
2313,LIFECYCLE_OK
2314,LIFECYCLE_OK
2315,LIFECYCLE_OK
2316,LIFECYCLE_OK
2317,LIFECYCLE_OK
2318,LIFECYCLE_OK
2319,LIFECYCLE_OK
2320,LIFECYCLE_OK
2321,LIFECYCLE_OK
2322,LIFECYCLE_OK
2323,LIFECYCLE_OK
2324,LIFECYCLE_OK
2325,LIFECYCLE_OK
2326,LIFECYCLE_OK
2327,NOT_AUDITABLE
2328,LIFECYCLE_OK
2329,LIFECYCLE_OK
2349,LIFECYCLE_OK
2350,LIFECYCLE_OK
2351,LIFECYCLE_OK
2352,LIFECYCLE_OK
2353,LIFECYCLE_OK
2354,LIFECYCLE_OK
2355,LIFECYCLE_OK
2356,LIFECYCLE_OK
2357,LIFECYCLE_OK
2358,LIFECYCLE_OK
2359,LIFECYCLE_OK
2360,LIFECYCLE_OK
