"item","current_path","proposed_path","action","category","risk","requires_owner_approval","requires_tests","notes"
".github",".github",".github","KEEP_ROOT_EXCEPTION","github_automation","LOW","YES","GitHub Actions path audit","Recommended technical root exception if workflows are required."
".gitignore",".gitignore",".gitignore","KEEP_ROOT_EXCEPTION","root_policy","LOW","NO","git status","Official root allowlist item."
".mplconfig",".mplconfig","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/.mplconfig","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
".tmp.driveupload",".tmp.driveupload","04_INFRASTRUCTURE_ENGINEERING/legacy_ops/.tmp.driveupload","MOVE_TO_CANONICAL_FOLDER","infrastructure_ops_or_local_support","MEDIUM","YES","rg old path refs; tool entrypoint checks","Infrastructure/ops support surface; move only with compatibility check."
"00_READ_THIS_FIRST.md","00_READ_THIS_FIRST.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/00_READ_THIS_FIRST.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"000_PARA_CHATGPT.zip","000_PARA_CHATGPT.zip","_LOCAL_QUARANTINE_DO_NOT_COMMIT/root_zip_legacy/000_PARA_CHATGPT.zip","REMOVE_FROM_GIT_KEEP_LOCAL_QUARANTINE","legacy_zip_artifact","MEDIUM","YES","git status; git ls-files -- 000_PARA_CHATGPT.zip; no zip in root","Tracked ZIP contradicts current no-ZIP policy. Preferred remove from Git and preserve local copy."
"01_CURRENT_PROJECT_STATUS.json","01_CURRENT_PROJECT_STATUS.json","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/01_CURRENT_PROJECT_STATUS.json","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"01_CURRENT_PROJECT_STATUS.md","01_CURRENT_PROJECT_STATUS.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/01_CURRENT_PROJECT_STATUS.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"02_STRATEGY_AUTHORITY_MAP.json","02_STRATEGY_AUTHORITY_MAP.json","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/02_STRATEGY_AUTHORITY_MAP.json","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"02_STRATEGY_AUTHORITY_MAP.md","02_STRATEGY_AUTHORITY_MAP.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/02_STRATEGY_AUTHORITY_MAP.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"03_OBSOLETE_AND_SUPERSEDED_INDEX.json","03_OBSOLETE_AND_SUPERSEDED_INDEX.json","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/03_OBSOLETE_AND_SUPERSEDED_INDEX.json","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"03_OBSOLETE_AND_SUPERSEDED_INDEX.md","03_OBSOLETE_AND_SUPERSEDED_INDEX.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/03_OBSOLETE_AND_SUPERSEDED_INDEX.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"03_RESEARCH_LAB","03_RESEARCH_LAB","03_RESEARCH_LAB/","KEEP_ROOT_EXCEPTION","official_canonical_root","LOW","NO","git status","Official root allowlist folder."
"06_GOVERNANCE_AND_COMPLIANCE","06_GOVERNANCE_AND_COMPLIANCE","06_GOVERNANCE_AND_COMPLIANCE/","KEEP_ROOT_EXCEPTION","official_canonical_root","LOW","NO","git status","Official root allowlist folder."
"ABRIR_MANIPULANTE_AQUI.txt","ABRIR_MANIPULANTE_AQUI.txt","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/ABRIR_MANIPULANTE_AQUI.txt","MOVE_TO_CANONICAL_FOLDER","operator_handoff","LOW","YES","operator docs path check","Root operator handoff text; archive under governance docs if no longer active."
"AUDITORIA_EJECUCION_FINAL.md","AUDITORIA_EJECUCION_FINAL.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/AUDITORIA_EJECUCION_FINAL.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Root audit report material should leave active root."
"audits","audits","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/audits","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"BLS_ACCESS_EVIDENCE_REPORT.md","BLS_ACCESS_EVIDENCE_REPORT.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/BLS_ACCESS_EVIDENCE_REPORT.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"bls_debug_fetch.py","bls_debug_fetch.py","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/bls_debug_fetch.py","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"bls_html_samples","bls_html_samples","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/bls_html_samples","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
"BLS_HYBRID_ACCESS_COMPLETE_REPORT.md","BLS_HYBRID_ACCESS_COMPLETE_REPORT.md","06_GOVERNANCE_AND_COMPLIANCE/legacy_root_docs/BLS_HYBRID_ACCESS_COMPLETE_REPORT.md","MOVE_TO_CANONICAL_FOLDER","governance_docs_or_audit_material","LOW","YES","rg old path refs; docs index check","Governance/audit/report material should leave active root."
