file_path,exists,is_tracked_or_staged,status
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_ACCEPTANCE_DECISION.md,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_PHYSICAL_ROWCOUNT_AUDIT.csv,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_METRIC_RECALC_AUDIT.md,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_TOP5_SELECTION_AUDIT.md,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_DATE_SPLIT_AUDIT.csv,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/acceptance_gate/V49_CONFIG_ID_AUDIT.csv,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/R1_V49_AGGREGATED_CANDIDATE_RANKING.csv,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/R1_V49_TOP5_FINALISTS.csv,YES,YES,PASSED
03_RESEARCH_LAB/BOT_V2_DAYTIME_LAB/reports/v49_r1_real_factory_expansion_batch3/R1_V49_SELECTION_AUDIT.md,YES,YES,PASSED
06_GOVERNANCE_AND_COMPLIANCE/engine_lockdown/,YES,YES,PASSED
06_GOVERNANCE_AND_COMPLIANCE/external_audit_readiness/claude_47_r1_v49_v50/,YES,YES,PASSED
