family_id,config_id,month,pnl_net_r
F06,F06_REAL_PRE_0001,2022-05,0.9
F06,F06_REAL_PRE_0002,2022-05,0.9
F06,F06_REAL_PRE_0003,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2022-05,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
F12,F12_REAL_PRE_0001,2023-01,0.9
