"path","status_code","category","size_bytes","last_write_time","sha256_if_file","staged","touched_by_this_phase","classification","action"
"03_RESEARCH_LAB/knowledge_intake/","??","KNOWLEDGE_INTAKE_20260518","","2026-05-18T10:17:01.4386055-03:00","","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Directory marker; contents fingerprinted below; leave untracked and untouched."
"03_RESEARCH_LAB/knowledge_intake/.gitignore","??","KNOWLEDGE_INTAKE_20260518","119","2026-05-18T10:29:41.3394484-03:00","574c2355e46923f998cdad9ee09eeeb75b572f97543e3e1515d1b5918f63054f","NO","YES","LOCAL_GITIGNORE_GUARD_CREATED","Stage explicit guard only; keep copied intake contents local and untracked."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/CHATGPT/deep-research-report.md","??","KNOWLEDGE_INTAKE_20260518","21712","2026-05-14T11:39:42.0811472-03:00","4888684619bc2df0a7a42d1177fe203a37df5e132ca211967c2310924f87b4e9","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/CHATGPT/Nuevo Documento de Microsoft Word.docx","??","KNOWLEDGE_INTAKE_20260518","24666","2026-05-14T11:40:48.7059163-03:00","ab0306eb3888747b1caa90fe812ed4063fdb1c5196245ce284627b813687b0f9","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/CLAUDE/Investigacion profunta.pdf","??","KNOWLEDGE_INTAKE_20260518","13134720","2026-05-14T11:06:04.2107991-03:00","cecee5e1537336a6142a522bc2c82826394e82495aabffe78fb6550b44f5f78c","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GEMINI/Evaluación Profesional de Trading Algorítmico.pdf","??","KNOWLEDGE_INTAKE_20260518","316205","2026-05-14T11:17:09.8386795-03:00","2661550ec6c456869e752bd9e18af491b5dc84f046d7f435dc5e24e32e86361f","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GORK/auditoria.docx","??","KNOWLEDGE_INTAKE_20260518","25053","2026-05-14T12:31:16.4688196-03:00","c0a02988167edc46fa8af4d50540537c944ae05a1eb1d2e4f939e21545772eb3","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GORK/Nuevo Documento de Microsoft Word (2).docx","??","KNOWLEDGE_INTAKE_20260518","20954","2026-05-14T11:50:31.3017273-03:00","7a7ebf9d1945f2104f7c44ea47387741494863a75711c201de1462b906028dc0","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GORK/Nuevo Documento de Microsoft Word (3).docx","??","KNOWLEDGE_INTAKE_20260518","20017","2026-05-14T11:53:08.3929782-03:00","9b0cee4f290f73a48ad78d2063ca72505cc16d0eefc5e94833c13abfdf4a64c9","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GORK/Nuevo Documento de Microsoft Word (4).docx","??","KNOWLEDGE_INTAKE_20260518","24357","2026-05-14T12:05:04.5177051-03:00","56fb6287d69f22d82947dcaffe8d8be513c35eba78806843f56ffbbf92109355","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
"03_RESEARCH_LAB/knowledge_intake/external_quant_project_growth_20260518/INVESTIGACION_QUANT_GENERAL/GORK/Nuevo Documento de Microsoft Word.docx","??","KNOWLEDGE_INTAKE_20260518","21358","2026-05-14T11:18:58.0087673-03:00","fbf9e26a6f753cfa8ba0e4006c5c9f32b9b6895ee2ea5c47bf060d844a26a331","NO","NO","KNOWN_KNOWLEDGE_INTAKE_UNTRACKED_STABLE_UNTOUCHED","Leave untracked and untouched; no cleanup/move/delete in this phase."
