run_id,family_id,config_id,signal_time,side,gross_r,sl_pips,net_r,month
RBPR4W1GOOD,F06,CFG_001,2020-03-01T10:00:00,BUY,0.40,7.5,0.31,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-02T10:01:00,SELL,0.41,7.5,0.32,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-03T10:02:00,BUY,0.42,7.5,0.33,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-04T10:03:00,SELL,0.43,7.5,0.34,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-05T10:04:00,BUY,0.44,7.5,0.35,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-06T10:05:00,SELL,0.45,7.5,0.36,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-07T10:06:00,BUY,0.46,7.5,0.37,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-08T10:07:00,SELL,0.40,7.5,0.31,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-09T10:08:00,BUY,0.41,7.5,0.32,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-10T10:09:00,SELL,0.42,7.5,0.33,2024-04
