month,calendar_file_exists,source_calendar,high_impact_usd_count,high_impact_eur_count,timezone_confirmed,duplicate_events,suspicious_zero_events,missing_required_fields,status,notes
2015_01,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_02,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_03,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_04,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_05,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_06,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_07,true,news_eurusd_m15_validated.csv,15,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_08,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_09,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_10,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_11,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2015_12,true,news_eurusd_m15_validated.csv,15,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_01,true,news_eurusd_m15_validated.csv,14,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_02,true,news_eurusd_m15_validated.csv,15,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_03,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_04,true,news_eurusd_m15_validated.csv,14,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_05,true,news_eurusd_m15_validated.csv,15,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_06,true,news_eurusd_m15_validated.csv,17,6,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_07,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_08,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_09,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_10,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_11,true,news_eurusd_m15_validated.csv,16,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2016_12,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_01,true,news_eurusd_m15_validated.csv,14,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_02,true,news_eurusd_m15_validated.csv,15,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_03,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_04,true,news_eurusd_m15_validated.csv,14,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_05,true,news_eurusd_m15_validated.csv,15,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_06,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_07,true,news_eurusd_m15_validated.csv,15,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_08,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_09,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_10,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_11,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2017_12,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_01,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_02,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_03,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_04,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_05,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_06,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_07,true,news_eurusd_m15_validated.csv,15,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_08,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_09,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_10,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_11,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2018_12,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_01,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_02,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_03,true,news_eurusd_m15_validated.csv,16,5,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_04,true,news_eurusd_m15_validated.csv,15,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_05,true,news_eurusd_m15_validated.csv,14,3,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_06,true,news_eurusd_m15_validated.csv,16,4,true,0,0,0,REVIEW,Legacy standard validation baseline
2019_07,true,news_eurusd_m15_validated.csv,15,5,true,0,0,0,REVIEW,Legacy standard validation baseline
