family_id,config_id,sl_pips,tp_ratio,risk_per_trade
F06,F06_V50B_0001,30,1.5,0.01
F06,F06_V50B_0002,15,2.5,0.01
F06,F06_V50B_0003,30,1.5,0.01
F06,F06_V50B_0004,30,2.5,0.01
F06,F06_V50B_0005,15,1.5,0.01
F06,F06_V50B_0006,15,2.0,0.01
F06,F06_V50B_0007,30,2.0,0.01
F06,F06_V50B_0008,25,1.5,0.01
F06,F06_V50B_0009,25,1.5,0.01
F06,F06_V50B_0010,20,1.5,0.01
F06,F06_V50B_0011,20,1.5,0.01
F06,F06_V50B_0012,30,2.5,0.01
F06,F06_V50B_0013,30,2.5,0.01
F06,F06_V50B_0014,15,1.5,0.01
F06,F06_V50B_0015,30,1.5,0.01
F06,F06_V50B_0016,30,1.5,0.01
F06,F06_V50B_0017,25,2.0,0.01
F06,F06_V50B_0018,15,2.0,0.01
F06,F06_V50B_0019,15,1.5,0.01
F06,F06_V50B_0020,20,1.5,0.01
F06,F06_V50B_0021,30,2.5,0.01
F06,F06_V50B_0022,30,1.5,0.01
F06,F06_V50B_0023,30,2.5,0.01
F06,F06_V50B_0024,15,2.5,0.01
F06,F06_V50B_0025,15,2.0,0.01
F06,F06_V50B_0026,25,2.5,0.01
F06,F06_V50B_0027,30,2.0,0.01
F06,F06_V50B_0028,30,2.5,0.01
F06,F06_V50B_0029,20,1.5,0.01
F06,F06_V50B_0030,20,2.0,0.01
F06,F06_V50B_0031,30,2.5,0.01
F06,F06_V50B_0032,15,2.5,0.01
F06,F06_V50B_0033,25,1.5,0.01
F06,F06_V50B_0034,25,2.5,0.01
F06,F06_V50B_0035,30,1.5,0.01
F06,F06_V50B_0036,20,1.5,0.01
F06,F06_V50B_0037,30,1.5,0.01
F06,F06_V50B_0038,25,2.0,0.01
F06,F06_V50B_0039,25,1.5,0.01
F06,F06_V50B_0040,30,2.0,0.01
F06,F06_V50B_0041,20,1.5,0.01
F06,F06_V50B_0042,15,1.5,0.01
F06,F06_V50B_0043,30,2.5,0.01
F06,F06_V50B_0044,30,2.5,0.01
F06,F06_V50B_0045,15,2.5,0.01
F06,F06_V50B_0046,30,2.0,0.01
F06,F06_V50B_0047,30,1.5,0.01
F06,F06_V50B_0048,25,1.5,0.01
F06,F06_V50B_0049,30,2.0,0.01
F06,F06_V50B_0050,30,2.5,0.01
F06,F06_V50B_0051,25,2.0,0.01
F06,F06_V50B_0052,20,2.0,0.01
F06,F06_V50B_0053,30,2.5,0.01
F06,F06_V50B_0054,25,1.5,0.01
F06,F06_V50B_0055,30,2.0,0.01
F06,F06_V50B_0056,25,2.0,0.01
F06,F06_V50B_0057,30,2.5,0.01
F06,F06_V50B_0058,15,2.5,0.01
F06,F06_V50B_0059,30,1.5,0.01
F06,F06_V50B_0060,30,1.5,0.01
F06,F06_V50B_0061,15,2.5,0.01
F06,F06_V50B_0062,30,2.5,0.01
F06,F06_V50B_0063,20,2.5,0.01
F06,F06_V50B_0064,25,2.5,0.01
F06,F06_V50B_0065,20,1.5,0.01
F06,F06_V50B_0066,15,1.5,0.01
F06,F06_V50B_0067,20,2.5,0.01
F06,F06_V50B_0068,30,1.5,0.01
F06,F06_V50B_0069,20,2.5,0.01
F06,F06_V50B_0070,15,2.5,0.01
F06,F06_V50B_0071,20,2.5,0.01
F06,F06_V50B_0072,15,2.5,0.01
F06,F06_V50B_0073,15,2.0,0.01
F06,F06_V50B_0074,20,2.0,0.01
F06,F06_V50B_0075,25,2.0,0.01
F06,F06_V50B_0076,20,2.0,0.01
F06,F06_V50B_0077,25,1.5,0.01
F06,F06_V50B_0078,15,2.5,0.01
F06,F06_V50B_0079,20,1.5,0.01
F06,F06_V50B_0080,30,2.0,0.01
F06,F06_V50B_0081,25,2.5,0.01
F06,F06_V50B_0082,25,2.0,0.01
F06,F06_V50B_0083,25,1.5,0.01
F06,F06_V50B_0084,30,1.5,0.01
F06,F06_V50B_0085,15,2.0,0.01
F06,F06_V50B_0086,30,1.5,0.01
F06,F06_V50B_0087,30,2.0,0.01
F06,F06_V50B_0088,15,2.5,0.01
F06,F06_V50B_0089,25,2.5,0.01
F06,F06_V50B_0090,15,1.5,0.01
F06,F06_V50B_0091,25,2.0,0.01
F06,F06_V50B_0092,30,1.5,0.01
F06,F06_V50B_0093,30,2.5,0.01
F06,F06_V50B_0094,25,2.0,0.01
F06,F06_V50B_0095,15,2.0,0.01
F06,F06_V50B_0096,25,2.0,0.01
F06,F06_V50B_0097,15,1.5,0.01
F06,F06_V50B_0098,25,2.0,0.01
F06,F06_V50B_0099,15,2.5,0.01
F06,F06_V50B_0100,20,2.5,0.01
F06,F06_V50B_0101,25,1.5,0.01
F06,F06_V50B_0102,20,2.5,0.01
F06,F06_V50B_0103,30,2.0,0.01
F06,F06_V50B_0104,25,1.5,0.01
F06,F06_V50B_0105,15,1.5,0.01
F06,F06_V50B_0106,25,1.5,0.01
