family_id,config_id,sl_pips,tp_ratio,risk_per_trade
F01,F01_V50B_0001,20,2.5,0.01
F01,F01_V50B_0002,25,2.5,0.01
F01,F01_V50B_0003,30,1.5,0.01
F01,F01_V50B_0004,20,2.5,0.01
F01,F01_V50B_0005,20,1.5,0.01
F01,F01_V50B_0006,25,1.5,0.01
F01,F01_V50B_0007,15,1.5,0.01
F01,F01_V50B_0008,30,2.5,0.01
F01,F01_V50B_0009,20,2.5,0.01
F01,F01_V50B_0010,30,2.5,0.01
F01,F01_V50B_0011,20,2.5,0.01
F01,F01_V50B_0012,15,2.5,0.01
F01,F01_V50B_0013,25,2.0,0.01
F01,F01_V50B_0014,25,2.0,0.01
F01,F01_V50B_0015,20,2.5,0.01
F01,F01_V50B_0016,25,2.0,0.01
F01,F01_V50B_0017,15,2.0,0.01
F01,F01_V50B_0018,25,2.0,0.01
F01,F01_V50B_0019,25,2.0,0.01
F01,F01_V50B_0020,30,1.5,0.01
F01,F01_V50B_0021,20,2.0,0.01
F01,F01_V50B_0022,30,1.5,0.01
F01,F01_V50B_0023,25,1.5,0.01
F01,F01_V50B_0024,30,2.0,0.01
F01,F01_V50B_0025,30,2.5,0.01
F01,F01_V50B_0026,30,2.0,0.01
F01,F01_V50B_0027,30,2.5,0.01
F01,F01_V50B_0028,30,1.5,0.01
F01,F01_V50B_0029,25,2.0,0.01
F01,F01_V50B_0030,30,1.5,0.01
F01,F01_V50B_0031,15,1.5,0.01
F01,F01_V50B_0032,30,2.5,0.01
F01,F01_V50B_0033,15,1.5,0.01
F01,F01_V50B_0034,30,2.0,0.01
F01,F01_V50B_0035,15,2.5,0.01
F01,F01_V50B_0036,25,2.0,0.01
F01,F01_V50B_0037,25,2.5,0.01
F01,F01_V50B_0038,20,2.0,0.01
F01,F01_V50B_0039,20,1.5,0.01
F01,F01_V50B_0040,25,2.0,0.01
F01,F01_V50B_0041,15,2.0,0.01
F01,F01_V50B_0042,30,1.5,0.01
F01,F01_V50B_0043,30,1.5,0.01
F01,F01_V50B_0044,15,2.0,0.01
F01,F01_V50B_0045,25,1.5,0.01
F01,F01_V50B_0046,15,2.5,0.01
F01,F01_V50B_0047,25,2.0,0.01
F01,F01_V50B_0048,15,2.5,0.01
F01,F01_V50B_0049,20,1.5,0.01
F01,F01_V50B_0050,20,1.5,0.01
F01,F01_V50B_0051,20,2.0,0.01
F01,F01_V50B_0052,20,2.5,0.01
F01,F01_V50B_0053,30,2.0,0.01
F01,F01_V50B_0054,25,2.5,0.01
F01,F01_V50B_0055,20,2.0,0.01
F01,F01_V50B_0056,25,2.0,0.01
F01,F01_V50B_0057,20,1.5,0.01
F01,F01_V50B_0058,20,1.5,0.01
F01,F01_V50B_0059,25,2.5,0.01
F01,F01_V50B_0060,20,1.5,0.01
F01,F01_V50B_0061,30,2.5,0.01
F01,F01_V50B_0062,15,2.5,0.01
F01,F01_V50B_0063,25,1.5,0.01
F01,F01_V50B_0064,15,2.5,0.01
F01,F01_V50B_0065,15,2.0,0.01
F01,F01_V50B_0066,20,1.5,0.01
F01,F01_V50B_0067,25,2.5,0.01
F01,F01_V50B_0068,30,2.5,0.01
F01,F01_V50B_0069,15,1.5,0.01
F01,F01_V50B_0070,25,1.5,0.01
F01,F01_V50B_0071,25,1.5,0.01
F01,F01_V50B_0072,15,2.5,0.01
F01,F01_V50B_0073,20,1.5,0.01
F01,F01_V50B_0074,30,2.5,0.01
F01,F01_V50B_0075,30,1.5,0.01
F01,F01_V50B_0076,25,2.5,0.01
F01,F01_V50B_0077,20,1.5,0.01
F01,F01_V50B_0078,20,2.5,0.01
F01,F01_V50B_0079,15,2.0,0.01
F01,F01_V50B_0080,15,2.5,0.01
F01,F01_V50B_0081,25,2.0,0.01
F01,F01_V50B_0082,30,2.0,0.01
F01,F01_V50B_0083,25,1.5,0.01
F01,F01_V50B_0084,25,1.5,0.01
F01,F01_V50B_0085,30,1.5,0.01
F01,F01_V50B_0086,20,2.5,0.01
F01,F01_V50B_0087,30,1.5,0.01
F01,F01_V50B_0088,20,2.5,0.01
F01,F01_V50B_0089,25,1.5,0.01
F01,F01_V50B_0090,15,2.0,0.01
F01,F01_V50B_0091,15,2.0,0.01
F01,F01_V50B_0092,15,2.0,0.01
F01,F01_V50B_0093,20,2.0,0.01
F01,F01_V50B_0094,30,2.5,0.01
F01,F01_V50B_0095,30,2.5,0.01
F01,F01_V50B_0096,30,1.5,0.01
F01,F01_V50B_0097,15,1.5,0.01
F01,F01_V50B_0098,30,2.0,0.01
F01,F01_V50B_0099,30,2.0,0.01
F01,F01_V50B_0100,15,2.0,0.01
F01,F01_V50B_0101,20,2.5,0.01
F01,F01_V50B_0102,30,1.5,0.01
F01,F01_V50B_0103,25,1.5,0.01
F01,F01_V50B_0104,25,2.0,0.01
F01,F01_V50B_0105,20,1.5,0.01
F01,F01_V50B_0106,25,1.5,0.01
F01,F01_V50B_0107,25,2.0,0.01
F01,F01_V50B_0108,30,2.0,0.01
F01,F01_V50B_0109,20,1.5,0.01
F01,F01_V50B_0110,30,2.0,0.01
F01,F01_V50B_0111,20,1.5,0.01
F01,F01_V50B_0112,25,2.0,0.01
F01,F01_V50B_0113,30,2.0,0.01
F01,F01_V50B_0114,25,1.5,0.01
F01,F01_V50B_0115,25,2.5,0.01
F01,F01_V50B_0116,25,2.5,0.01
F01,F01_V50B_0117,30,2.5,0.01
F01,F01_V50B_0118,15,1.5,0.01
F01,F01_V50B_0119,15,1.5,0.01
F01,F01_V50B_0120,25,2.0,0.01
F01,F01_V50B_0121,20,2.5,0.01
F01,F01_V50B_0122,20,2.5,0.01
F01,F01_V50B_0123,20,2.0,0.01
F01,F01_V50B_0124,20,2.0,0.01
F01,F01_V50B_0125,20,2.0,0.01
F01,F01_V50B_0126,25,2.5,0.01
F01,F01_V50B_0127,25,1.5,0.01
F01,F01_V50B_0128,25,2.5,0.01
F01,F01_V50B_0129,15,2.5,0.01
F01,F01_V50B_0130,25,2.0,0.01
F01,F01_V50B_0131,15,2.5,0.01
F01,F01_V50B_0132,15,1.5,0.01
F01,F01_V50B_0133,25,2.0,0.01
F01,F01_V50B_0134,30,2.0,0.01
F01,F01_V50B_0135,30,2.5,0.01
F01,F01_V50B_0136,20,1.5,0.01
F01,F01_V50B_0137,15,2.5,0.01
F01,F01_V50B_0138,30,1.5,0.01
F01,F01_V50B_0139,30,2.5,0.01
F01,F01_V50B_0140,25,2.0,0.01
F01,F01_V50B_0141,20,2.0,0.01
F01,F01_V50B_0142,25,1.5,0.01
F01,F01_V50B_0143,15,1.5,0.01
F01,F01_V50B_0144,25,2.0,0.01
F01,F01_V50B_0145,25,2.5,0.01
F01,F01_V50B_0146,25,1.5,0.01
F01,F01_V50B_0147,25,1.5,0.01
F01,F01_V50B_0148,20,1.5,0.01
F01,F01_V50B_0149,20,1.5,0.01
F01,F01_V50B_0150,30,2.5,0.01
