Batch,Month_1,Month_2,Status,Notes
BATCH_13,2017-03,2017-04,PENDING,
BATCH_14,2017-05,2017-06,PENDING,2017-05 Parquet exists.
BATCH_15,2017-07,2017-08,PENDING,2017-08 Parquet exists.
BATCH_16,2017-09,2017-10,PENDING,
BATCH_17,2017-11,2017-12,PENDING,
BATCH_18,2018-01,2018-02,PENDING,
BATCH_19,2018-03,2018-04,PENDING,
BATCH_20,2018-05,2018-06,PENDING,
BATCH_21,2018-07,2018-08,PENDING,
BATCH_22,2018-09,2018-10,PENDING,
BATCH_23,2018-11,2018-12,PENDING,
BATCH_24,2019-01,2019-02,PENDING,
BATCH_25,2019-03,2019-04,PENDING,
BATCH_26,2019-05,2019-06,PENDING,
BATCH_27,2019-07,2019-08,PENDING,
BATCH_28,2019-09,2019-10,PENDING,
BATCH_29,2019-11,2019-12,PENDING,
BATCH_30,2020-01,2020-02,PENDING,
BATCH_31,2020-03,2020-04,PENDING,2020-04 Parquet exists.
BATCH_32,2020-05,2020-06,PENDING,
BATCH_33,2020-07,2020-08,PENDING,
BATCH_34,2020-09,2020-10,PENDING,
BATCH_35,2020-11,2020-12,PENDING,
BATCH_36,2021-01,2021-02,PENDING,
BATCH_37,2021-03,2021-04,PENDING,
