hypothesis_id,hypothesis_name,logic_family,causal_idea,objective_variables,required_data,expected_trade_frequency,data_mining_risk,implementation_complexity,estimated_compute_cost,kill_criteria,escalation_criteria,priority_score,notes
HYP_001,Sweep Quality + Displacement Gate,MICROSTRUCTURE_ABSORPTION,A generic price penetration is noise; true sweeps require deep penetration bounds followed immediately by high-momentum reversal expansion verifying trapped volume,penetration_pips [1.5 to 12.0]|subsequent_atr_ratio > 1.5|reclaim_bars <= 3,EURUSD tick-level Parquet vault|America/New_York canonical time,12 to 18 trades per month,LOW,MEDIUM,LOW,PF_val_net < 1.05 with 0.2 pip slip|N_val < 40,PF_val_net >= 1.15 with 0.2 pip slip|stable sample size,95,Top priority candidate bridging the gap between blind programmatic sweeps and visual 3M manual setup triggers
HYP_002,Post-News Liquidity Reversal,MACRO_SHOCK_ABSORPTION,Macroeconomic releases act as predictable liquidity catalysts driving weak hands into structural stops before smart money orchestrates mean reversion,news_event_trigger|post_release_seconds [60 to 180]|directional_sweep_depth,news_eurusd_am_fortress_v3.csv|EURUSD tick vault,4 to 8 trades per month,LOW,MEDIUM,MEDIUM,PF_val_net < 1.05 with 0.2 pip slip|FTMO blown early,PF_val_net >= 1.15 with 0.2 pip slip|zero news block gaps,92,Leverages premium curated schedule cache to isolate genuine retail capitulation buffers
HYP_003,London Sweep into NY Reversal,SESSION_HANDOFF_FLOW,London session sets the daily extreme trap by breaking previous session bounds before NY participants open market with massive counter-flow execution,london_high_low_array|ny_open_killzone_mask|m3_choch_confirmation,EURUSD tick vault|session boundary tracking arrays,8 to 14 trades per month,LOW,LOW,LOW,PF_val_net < 1.05 with 0.2 pip slip|flat equity curve,PF_val_net >= 1.15 with 0.2 pip slip|independent verify matching,88,Pure objective session logic aligning native liquidity dynamics with NY killzone volume peaks
HYP_004,Previous Day Liquidity Reclaim,STRUCTURAL_RAID_RECOVERY,Raiding PDH/PDL traps breakout traders; an immediate physical close back inside the daily range confirms failure and triggers an intraday mean reversion run,pdh_pdl_static_levels|reclaim_close_condition|m3_fvg_size >= 2.0,EURUSD tick vault|daily aggregate sidecars,10 to 15 trades per month,LOW,LOW,LOW,PF_val_net < 1.05 with 0.2 pip slip|edge dependent on 1-2 trades,PF_val_net >= 1.15 with 0.2 pip slip|smooth drawdown metrics,85,Highly stable logic family testing clear structural support/resistance boundary failures
HYP_005,Displacement-to-FVG Continuation,MOMENTUM_INEFFICIENCY,Strong structural shifts leave behind unmitigated price voids (FVGs); entering limit orders at the FVG edge captures institutional order flow continuation,m3_fvg_pips >= 2.0|displacement_roc_threshold|entry_limit_offset,EURUSD tick vault,15 to 22 trades per month,MEDIUM,MEDIUM,LOW,PF_val_net < 1.05 with 0.2 pip slip|excessive friction loss,PF_val_net >= 1.15 with 0.2 pip slip|robust metrics under slippage,80,Direct mathematical modeling of unmitigated void bounds without look-ahead risk
HYP_006,Asia Range False Breakout,SESSION_ACCUMULATION_TRAP,Asian session consolidation builds retail boundary stops; the initial breakout fakeout traps momentum chasers before reversing towards the opposing Asian limit,asia_high_low_array|breakout_fakeout_depth|m3_choch_trigger,EURUSD tick vault|Asia session static caches,10 to 16 trades per month,MEDIUM,LOW,LOW,PF_val_net < 1.05 with 0.2 pip slip|destructive rollover friction,PF_val_net >= 1.15 with 0.2 pip slip|clear statistical survival,75,Requires careful parameter tuning to avoid triggering orders during low-liquidity rollover phases
HYP_007,Failed Breakout with Volatility Compression,VOLATILITY_REGIME_FILTER,Breakout strategies fail when baseline market volatility is compressed; executing counter-trend entries exclusively during low-ATR regimes captures range-bound edge,prev_day_range_pips < 50|intraday_atr_compression|sweep_depth_pips,EURUSD tick vault|daily volatility pre-calculation,6 to 10 trades per month,MEDIUM,HIGH,MEDIUM,PF_val_net < 1.05 with 0.2 pip slip|sample size starvation,PF_val_net >= 1.15 with 0.2 pip slip|statistically significant sample,70,Introduces orthogonal regime filters to suppress execution during one-way trend environments
HYP_008,Weekly Level Raid + Intraday Displacement,HTF_MACRO_ANCHOR,Higher timeframe weekly extremes contain massive aggregated liquidity pools; intraday raids into these bounds yield sustained directional moves upon 3M confirmation,prev_week_high_low|m3_displacement_vector|time_to_reclaim,EURUSD tick vault|weekly aggregate boundaries,2 to 5 trades per month,HIGH,MEDIUM,LOW,PF_val_net < 1.05 with 0.2 pip slip|N_val < 30,PF_val_net >= 1.15 with 0.2 pip slip|zero concentration risk,65,Excellent theoretical expectancy but carries high risk of sample starvation over short evaluation windows
HYP_009,Liquidity Sweep Only in Premium/Discount Extremes,DIMENSIONAL_LOCATION_FILTER,Intraday sweeps occurring near the midpoint of historical ranges are low probability; restricting signal generation strictly to the upper/lower deciles filters out internal noise,htf_range_decile_location|sweep_depth_pips|m3_choch_confirmation,EURUSD tick vault|rolling HTF range calculators,8 to 12 trades per month,HIGH,MEDIUM,HIGH,PF_val_net < 1.05 with 0.2 pip slip|unstable out-of-sample curve,PF_val_net >= 1.15 with 0.2 pip slip|stable out-of-sample performance,60,High computational cost required to maintain real-time dynamic range decile updates across long sweep paths
HYP_010,Opposing Liquidity Target Model,DYNAMIC_EXIT_OPTIMIZATION,Static risk multiples leave money on the table; tracking dynamic opposing liquidity targets (unmitigated internal blocks) provides logical institutional exit nodes,dynamic_internal_liquidity_array|trailing_absorption_metric,EURUSD tick vault|multi-timeframe order block parsers,Variable across base setups,HIGH,HIGH,HIGH,PF_val_net < 1.05 with 0.2 pip slip|excessive implementation complexity,PF_val_net >= 1.15 with 0.2 pip slip|reproducible across multi-agents,55,Advanced exit model requiring complex causal memory tracking arrays to avoid look-ahead logic corruption
